address,attraction,chance,city,cname,collected,cuuid,day,degree,delivered,endtime,ftype,iname,industry,info,invited,logo,maxsal,minsal,month,overdue,refresh,reslan,scale,url
吴中路699号,做五休二，专业培训,面议,上海,华住（汉庭）酒店集团,0,com_mmysoic1bqyz,4,本科,0,2018-08-24,1,研发实习生,"生活服务,酒店","<span style=""color:#333333;line-height:25px;font-size:14px;background-color:#ffffff;"">1、计算机相关专业毕业，本科及以上学历，成绩优异；</span><br>
<span style=""color:#333333;line-height:25px;font-size:14px;background-color:#ffffff;"">2、至少掌握C#, Java, C/C++一种编程语言；</span><br>
<span style=""color:#333333;line-height:25px;font-size:14px;background-color:#ffffff;"">3、熟练掌握SQL；</span><br>
<span style=""color:#333333;line-height:25px;font-size:14px;background-color:#ffffff;"">4、能承受高强度工作压力，可接受加班；</span><br>
<span style=""color:#333333;line-height:25px;font-size:14px;background-color:#ffffff;"">5、性格开朗，沟通顺畅，表达能力强，能迅速融入团队协作；</span><br>
<span style=""color:#333333;line-height:25px;font-size:14px;background-color:#ffffff;"">6、每周至少实习3天，可实习5天或者实习周期长的优先考虑。</span>",0,https://sxsimg.xiaoyuanzhao.com/D8/91/D8876F463BA1B532E2E794B7D07D9591.jpg,200,100,24,0,2018-08-15 17:22:16,中文,2000人以上,https://www.shixiseng.com/intern/inn_kahqni8stnlb
海淀区丹棱SOHO,大平台；一对一导师制；免费晚餐；打车报销,面议,北京,好未来,0,com_yq7uoyrvlaqr,4,本科,0,2018-11-30,1,J A V A 实习生-大数据,计算机/互联网,"<p>
	任职资格：
</p>
<p>
	1、熟悉JAVA语言开发，了解Spring MVC、Spring Boot等开源框架。
</p>
<p>
	2、熟练掌握mysql应用开发技能，具备SQL常规开发能力和sql优化能力；
</p>
<p>
	3、熟悉消息队列、redis等中间件者为佳。
</p>
<p>
	4、熟练linux操作系统
</p>
<p>
	5、19年及之后毕业，20年毕业的优先
</p>
<p>
	工作内容：
</p>
<p>
	1、参与平台项目 JAVA 后端开发
</p>
<p>
	2、参与部分模块实现、优化及文档编写等工作
</p>
<p>
	3、调研现有开源框架的功能和实现
</p>",0,https://sxsimg.xiaoyuanzhao.com/2F/5C/2F4150A636B91A3AC4BA52DC41E1E95C.png,250,200,5,0,2018-08-15 17:20:25,中文,2000人以上,https://www.shixiseng.com/intern/inn_wu0y6k68boyl
北京市海淀区丹棱soho,互联网大公司 近地铁站,面议,北京,好未来,0,com_2ijqaxpq5vyx,5,不限,0,2019-11-30,1,大数据部java实习生,"计算机/互联网,教育培训",<div>职位描述：</div><div><div><p>任职资格：</p><p>1、熟悉JAVA语言开发，了解Spring MVC、Spring Boot等开源框架。</p><p>2、熟练掌握mysql应用开发技能，具备SQL常规开发能力和sql优化能力；</p><p>3、熟悉消息队列、redis等中间件者为佳。</p><p>4、熟练linux操作系统</p><p>5、19年及之后毕业，20年毕业的优先</p><p>工作内容：</p><p>1、参与平台项目 JAVA 后端开发</p><p>2、参与部分模块实现、优化及文档编写等工作</p><p>3、调研现有开源框架的功能和实现</p></div></div>,0,https://sxsimg.xiaoyuanzhao.com/2F/5C/2F4150A636B91A3AC4BA52DC41E1E95C.png,250,200,4,0,2018-08-15 17:19:36,中文,2000人以上,https://www.shixiseng.com/intern/inn_uq9m5gq7slid
北京市朝阳区四惠东通惠河南岸四惠大厦2层2029E,独角兽企业、丰富福利、转正机会、技术驱动,可转正,北京,掌阅iReader,0,com_2hhgs2kwqfh9,4,本科,0,2019-08-29,1,数据研发工程师（实习）,互联网,"<p>
	岗位职责：<span></span> 
</p>
<p>
	1.&nbsp;负责数据仓库的搭建，维护；<span></span> 
</p>
<p>
	2.&nbsp;负责数据产品的研发工作；<span></span> 
</p>
<p>
	3.&nbsp;参与日常的报表开发工作；<span></span> 
</p>
<p>
	4.&nbsp;参与大数据平台搭建，包括调度系统，元数据系统，查询系统等。<span></span> 
</p>
<p>
	&nbsp;
</p>
<p>
	任职资格：<span><br>
</span>1. 2020届本科及以上学历，计算机相关专业，具有优秀的自学能力；<span></span> 
</p>
<p>
	<span>2. 实习期最好半年以上，表现优异者可以转正；</span> 
</p>
<p>
	3. 具备扎实的<span>Java</span>开发功底及<span>hadoop</span>生态圈相关编码能力；<span></span> 
</p>
<p>
	4. 了解<span>Spring</span>、<span>SpringMVC</span>、<span>MyBatis</span>等常用<span>Java</span>框架技术；
</p>
<p>
	5. 具备优秀的逻辑分析以及沟通能力，具备良好的团队合作精神；<span></span> 
</p>
<p>
	6. 保证每周至少<span>4</span>天的实习时间，近期可以入职；<span></span> 
</p>
<p>
	7. 有<span>HQL</span>相关经验，熟悉<span>shell</span>语言优先。<span></span> 
</p>
<span style=""color:#333333;font-size:14px;line-height:21px;background-color:#ffffff;""></span><br>
<span style=""color:#333333;font-size:14px;line-height:21px;background-color:#ffffff;""></span>",0,https://sxsimg.xiaoyuanzhao.com/0A/CD/0A5CD120FEDAB32FF0AC949C30BB6ECD.png,300,200,11,0,2018-08-15 17:19:36,中文,500-2000人,https://www.shixiseng.com/intern/inn_cutml2lqdewe
北京市海淀区丹棱SOHO,免费水果零食；地铁周边；大牛导师；扁平化管理；美女如云,面议,北京,好未来,0,com_2ijqaxpq5vyx,4,本科,0,2018-08-31,1,AI Lab-Java后台开发实习生,"计算机/互联网,教育培训","<p>任职资格：<span></span></p><p>1、熟悉<span>JAVA</span>语言开发，了解Spring
MVC、<span>Spring Boot</span>等开源框架。<span></span></p><p>2、熟练掌握<span>mysql</span>应用开发技能，具备SQL常规开发能力和sql优化能力；</p><p>3、熟悉消息队列、redis等中间件者为佳。<span></span></p><p>4、熟练<span>linux</span>操作系统<span></span></p><p>5、19年及之后毕业，重点大学本科生或研究生（近期可入职，非单纯暑假实习）</p><p>工作内容：<span></span></p><p>1、参与平台项目
JAVA 后端开发<span></span></p><p>2、参与部分模块实现、优化及文档编写等工作</p><p>3、调研现有开源框架的功能和实现<span></span></p>",0,https://sxsimg.xiaoyuanzhao.com/2F/5C/2F4150A636B91A3AC4BA52DC41E1E95C.png,280,180,4,0,2018-08-15 17:19:34,中文,2000人以上,https://www.shixiseng.com/intern/inn_ctgofu4irnte
广州天河珠江新城马场路富力盈盛大厦1210,转正后13薪+年终奖+六险一金+节日礼品+员工体检等,可转正,广州,东方国信,0,com_bnqejgctpwqx,5,本科,0,2018-12-31,1,实习工程师岗位（JAVA开发/数据开发/数据分析挖掘方向),计算机/互联网,"<p>
	【岗位职责】<span></span> 
</p>
<p>
	1.&nbsp;&nbsp;
学习数据库开发、<span>java</span>开发、数据挖掘及大数据开发技术；<span></span> 
</p>
<p>
	2.&nbsp;&nbsp;
学习本地项目业务流程，完成基本开发任务；<span></span> 
</p>
<p>
	3.&nbsp;&nbsp;
负责客户意见反馈与问题跟踪，自行解决简单问题；<span></span> 
</p>
<p>
	4.&nbsp;&nbsp;
实习期满视个人能力及工作意愿转相应开发岗位。<span></span> 
</p>
<p>
	【岗位要求】<span></span> 
</p>
<p>
	1.&nbsp;&nbsp;
具有全日制普通高等院校本科<span>(</span>含<span>)</span>在读生或应届毕业生，计算机、软件、数学、统计等相关专业；<span></span> 
</p>
<p>
	2.&nbsp;&nbsp;
对软件开发有浓厚兴趣，有志于投身民族软件事业；<span></span> 
</p>
<p>
	3.&nbsp;&nbsp;
有良好的沟通与团队合作精神，有较强的分析解决问题的能力；<span></span> 
</p>
<p>
	4.&nbsp;&nbsp;
熟悉一种或几种主流数据库，如<span>Oracle,Hive,Mysql,SQL Server</span>等并且能熟练编写<span>SQL</span>语句（数据库开发方向）；<span></span> 
</p>
<p>
	5.&nbsp;&nbsp;
熟悉数理统计原理，熟悉<span>R</span>、<span>CLEMENTINE</span>、<span>SAS</span>等（数据分析挖掘方向）；<span></span> 
</p>
<p>
	6.&nbsp;&nbsp;
熟悉<span>java</span>、<span>JSP</span>、<span>java script</span>和<span>HTML</span>、<span>XML</span>（<span>java</span>开发方向）；<span></span> 
</p>",0,https://sxsimg.xiaoyuanzhao.com/22/7B/22B423F3ACCB56C620622B3396FFD07B.jpg,200,115,12,0,2018-08-15 17:09:42,中文,2000人以上,https://www.shixiseng.com/intern/inn_ajuh2mednnzp
佛山市南海区越秀星汇云锦710-711,带薪年假 五险一金 周末双休 绩效奖金,面议,佛山,酷码教育,0,com_fpdjgdyq8ae5,5,大专,0,2018-09-08,1,JS/H5编程讲师/助教,教育培训,"<p><span style=""font-size:14px;"">岗位职责：</span> </p><p><span style=""font-size:14px;"">1.&nbsp;</span><span style=""font-size:14px;"">研究</span><span style=""font-size:14px;"">JS/H5技术及最新应用；</span> </p><p><span style=""font-size:14px;"">2.&nbsp;设计、完善课程内容，更新与课程教学相关应用项目；</span> </p><p><span style=""font-size:14px;"">3.&nbsp;根据课程大纲要求进行备课，保证良好授课质量，达成授课目标，实现较好的学员满意度；</span> </p><p><span style=""font-size:14px;"">4.&nbsp;对学员进行学习指导、课后任务布置、学习质量评估；</span> </p><p><span style=""font-size:14px;"">5.&nbsp;与学员及学员家长保持良好的沟通反馈，并不断提升教学质量，达成学员的续费、增补，口碑推荐的结果；</span> </p><p><span style=""font-size:14px;""><br> </span> </p><p><span style=""font-size:14px;"">任职要求：</span> </p><p><span style=""font-size:14px;"">1.&nbsp;</span><span style=""font-size:14px;"">大学专科及以上学历，计算机相关专业，熟悉</span><span style=""font-size:14px;"">JS/H5编程技术及应用；</span> </p><p><span style=""font-size:14px;"">2.&nbsp;有志于青少年编程教学领域发展；</span> </p><p><span style=""font-size:14px;"">3.&nbsp;学习能力强，有钻研精神，有良好的沟通能力。</span> </p>",0,https://sxsimg.xiaoyuanzhao.com/71/99/7128B7B9BF01EA2150861307DF5AC499.png,150,100,4,0,2018-08-15 17:07:37,中文,50-150人,https://www.shixiseng.com/intern/inn_fjqlrloalhu4
广州市天河区天河南二路宏发大厦五楼545,带薪年假 五险一金 周末双休 绩效奖金,面议,广州,酷码教育,0,com_fpdjgdyq8ae5,5,大专,0,2018-09-07,1,JS/H5编程讲师/助教,教育培训,"<p>
	<span style=""font-size:14px;"">岗位职责：</span>
</p>
<p>
	<span style=""font-size:14px;"">1.&nbsp;</span><span style=""font-size:14px;"">研究</span><span style=""font-size:14px;"">JS/H5技术及最新应用；</span>
</p>
<p>
	<span style=""font-size:14px;"">2.&nbsp;设计、完善课程内容，更新与课程教学相关应用项目；</span>
</p>
<p>
	<span style=""font-size:14px;"">3.&nbsp;根据课程大纲要求进行备课，保证良好授课质量，达成授课目标，实现较好的学员满意度；</span>
</p>
<p>
	<span style=""font-size:14px;"">4.&nbsp;对学员进行学习指导、课后任务布置、学习质量评估；</span>
</p>
<p>
	<span style=""font-size:14px;"">5.&nbsp;与学员及学员家长保持良好的沟通反馈，并不断提升教学质量，达成学员的续费、增补，口碑推荐的结果；</span>
</p>
<p>
	<span style=""font-size:14px;""><br>
</span>
</p>
<p>
	<span style=""font-size:14px;"">任职要求：</span>
</p>
<p>
	<span style=""font-size:14px;"">1.&nbsp;</span><span style=""font-size:14px;"">大学专科及以上学历，计算机相关专业，熟悉</span><span style=""font-size:14px;"">JS/H5编程技术及应用；</span>
</p>
<p>
	<span style=""font-size:14px;"">2.&nbsp;有志于青少年编程教学领域发展；</span>
</p>
<p>
	<span style=""font-size:14px;"">3.&nbsp;学习能力强，有钻研精神，有良好的沟通能力。</span>
</p>
<div>
	<br>
</div>",0,https://sxsimg.xiaoyuanzhao.com/71/99/7128B7B9BF01EA2150861307DF5AC499.png,150,100,4,0,2018-08-15 17:07:12,中文,50-150人,https://www.shixiseng.com/intern/inn_bop8st7zosae
深圳市南山区海岸城天利名城B座1006,带薪年假 五险一金 周末双休 绩效奖金,面议,深圳,酷码教育,0,com_fpdjgdyq8ae5,5,大专,0,2018-08-31,1,JS/H5编程讲师/助教,教育培训,"<p>
	<span style=""font-size:14px;"">岗位职责：</span> 
</p>
<p>
	<span style=""font-size:14px;"">1.&nbsp;</span><span style=""font-size:14px;"">研究</span><span style=""font-size:14px;"">JS/H5技术及最新应用；</span> 
</p>
<p>
	<span style=""font-size:14px;"">2.&nbsp;设计、完善课程内容，更新与课程教学相关应用项目；</span> 
</p>
<p>
	<span style=""font-size:14px;"">3.&nbsp;根据课程大纲要求进行备课，保证良好授课质量，达成授课目标，实现较好的学员满意度；</span> 
</p>
<p>
	<span style=""font-size:14px;"">4.&nbsp;对学员进行学习指导、课后任务布置、学习质量评估；</span> 
</p>
<p>
	<span style=""font-size:14px;"">5.&nbsp;与学员及学员家长保持良好的沟通反馈，并不断提升教学质量，达成学员的续费、增补，口碑推荐的结果；</span> 
</p>
<p>
	<span style=""font-size:14px;""><br>
</span> 
</p>
<p>
	<span style=""font-size:14px;"">任职要求：</span> 
</p>
<p>
	<span style=""font-size:14px;"">1.&nbsp;</span><span style=""font-size:14px;"">大学专科及以上学历，计算机相关专业，熟悉</span><span style=""font-size:14px;"">JS/H5编程技术及应用；</span> 
</p>
<p>
	<span style=""font-size:14px;"">2.&nbsp;有志于青少年编程教学领域发展；</span> 
</p>
<p>
	<span style=""font-size:14px;"">3.&nbsp;学习能力强，有钻研精神，有良好的沟通能力。</span> 
</p>
<div>
	<br>
</div>",0,https://sxsimg.xiaoyuanzhao.com/71/99/7128B7B9BF01EA2150861307DF5AC499.png,150,100,3,0,2018-08-15 17:06:25,中文,50-150人,https://www.shixiseng.com/intern/inn_bsnigrnftfr2
"广州市天河区天河南二路宏发大厦5楼545酷码教育,广州市越秀区中山四路信德商务大厦20楼酷码教育",可转正，且提供晋升渠道。,面议,广州,酷码教育,0,com_wpayvv19gnqc,5,本科,0,2018-12-31,1,Java/Js讲师,教育培训,<p>岗位职责：</p><p>1、负责规划和讲授JAVA的课程，管理课程材料（器材），课后教学经验总结；<br>2、负责学生课时及课后管理工作；<br>3、负责相应课程开发，根据热点及时更新课程；</p><p>4、了解每个孩子的状况，并具有与家长的良好沟通能力；</p><p>5、协助市场推广和招生等相关工作。</p><p><br></p><p>任职要求：</p><p>1、全职实习职均可，应届毕业生优选；</p><p>2、本科或以上学历；</p><p>3、有JavaScript培训经验优先；<br>4、擅长沟通表达，喜欢与孩子互动，对科技教育有兴趣；&nbsp;<br>5、有团队协作精神，有责任心，有良好的敬业精神，认真耐心，逻辑清晰，能够吸取新知识完善自己。</p>,0,https://sxsimg.xiaoyuanzhao.com/C4/65/C471BE635D3585197EE24CE6A8940A65.png,150,100,7,0,2018-08-15 16:59:15,中文,15-50人,https://www.shixiseng.com/intern/inn_h7esrzvzlwup
