ad_type,city,cname,day,deliver,ftype,invite,maxsal,minsal,name,refresh,type,url,uuid
f,广州,东方国信,5,False,1,False,200,115,实习工程师岗位（JAVA开发/数据开发/数据分析挖掘方向),08-15,intern,https://sxsimg.xiaoyuanzhao.com/22/7B/22B423F3ACCB56C620622B3396FFD07B.jpg,inn_ajuh2mednnzp
f,上海,平安科技,4,False,1,False,300,200,数据挖掘工程师,08-15,intern,https://sxsimg.xiaoyuanzhao.com/99/B7/9934093BA0C3A665415E2CDAAAC7D5B7.jpeg,inn_akhmqmhearhh
f,北京,滴滴出行,5,False,1,False,200,150,数据分析实习生,08-15,intern,https://sxsimg.xiaoyuanzhao.com/3C/D1/3C0BD69C2DC0C5222A061635FDC55BD1.jpg,inn_cayy9xwcyi8r
f,大连,腾讯无线大连研发中心,5,False,0,False,150,100,算法实习生,08-15,intern,https://sxsimg.xiaoyuanzhao.com/82/3D/82C3DA937235431C6137523C0385633D.png,inn_dvdkujbqjldj
f,上海,上海数策,4,False,1,False,150,140,文本建模助理,08-15,intern,https://sxsimg.xiaoyuanzhao.com/89/99/8956851288C7368F8662E01C6AD02F99.jpg,inn_ghppsuc83q85
f,杭州,网易游戏,4,False,1,False,200,150,技术综合实习生（数据开发方向）,08-15,intern,https://sxsimg.xiaoyuanzhao.com/B0/E4/B00FD20AE1431CF1143AA76CC5AD4CE4.jpg,inn_tvwfd0ri7dfk
f,长春,百分点科技,4,False,1,False,200,150,数据建模师,08-15,intern,https://sxsimg.xiaoyuanzhao.com/D1/BE/D1EEC8358B802CD480D1433E6B5DF3BE.jpg,inn_nklw3bvhtaug
f,上海,GET,3,False,1,False,200,150,NLP/数据挖掘实习生,08-15,intern,https://sxsimg.xiaoyuanzhao.com/FA/E3/FAA8BF8968768EAA6E929AA221ADE2E3.png,inn_gfuwudpswcf5
f,北京,摩比神奇,4,False,1,False,200,150,风控数据实习生,08-15,intern,https://sxsimg.xiaoyuanzhao.com/FA/CE/FAF0889843AB96D6E57BC9AB13E55DCE.jpg,inn_abkl341k6bf0
f,杭州,网易游戏,4,False,1,False,200,150,数据挖掘实习生,08-15,intern,https://sxsimg.xiaoyuanzhao.com/B0/E4/B00FD20AE1431CF1143AA76CC5AD4CE4.jpg,inn_og7d6slpbbv0
f,重庆,完美世界,4,False,1,False,150,100,数据工程师,08-15,intern,https://sxsimg.xiaoyuanzhao.com/21/BE/2175CC5D253851303BE2122A74A46ABE.jpg,inn_sr9wybabosof
