ad_type,city,cname,day,deliver,ftype,invite,maxsal,minsal,name,refresh,type,url,uuid
f,上海,华住（汉庭）酒店集团,4,False,1,False,200,100,研发实习生,08-15,intern,https://sxsimg.xiaoyuanzhao.com/D8/91/D8876F463BA1B532E2E794B7D07D9591.jpg,inn_kahqni8stnlb
f,北京,好未来,4,False,1,False,250,200,J A V A 实习生-大数据,08-15,intern,https://sxsimg.xiaoyuanzhao.com/2F/5C/2F4150A636B91A3AC4BA52DC41E1E95C.png,inn_wu0y6k68boyl
f,北京,好未来,5,False,1,False,250,200,大数据部java实习生,08-15,intern,https://sxsimg.xiaoyuanzhao.com/2F/5C/2F4150A636B91A3AC4BA52DC41E1E95C.png,inn_uq9m5gq7slid
f,北京,掌阅iReader,4,False,1,False,300,200,数据研发工程师（实习）,08-15,intern,https://sxsimg.xiaoyuanzhao.com/0A/CD/0A5CD120FEDAB32FF0AC949C30BB6ECD.png,inn_cutml2lqdewe
f,北京,好未来,4,False,1,False,280,180,AI Lab-Java后台开发实习生,08-15,intern,https://sxsimg.xiaoyuanzhao.com/2F/5C/2F4150A636B91A3AC4BA52DC41E1E95C.png,inn_ctgofu4irnte
f,广州,东方国信,5,False,1,False,200,115,实习工程师岗位（JAVA开发/数据开发/数据分析挖掘方向),08-15,intern,https://sxsimg.xiaoyuanzhao.com/22/7B/22B423F3ACCB56C620622B3396FFD07B.jpg,inn_ajuh2mednnzp
f,佛山,酷码教育,5,False,1,False,150,100,JS/H5编程讲师/助教,08-15,intern,https://sxsimg.xiaoyuanzhao.com/71/99/7128B7B9BF01EA2150861307DF5AC499.png,inn_fjqlrloalhu4
f,广州,酷码教育,5,False,1,False,150,100,JS/H5编程讲师/助教,08-15,intern,https://sxsimg.xiaoyuanzhao.com/71/99/7128B7B9BF01EA2150861307DF5AC499.png,inn_bop8st7zosae
f,深圳,酷码教育,5,False,1,False,150,100,JS/H5编程讲师/助教,08-15,intern,https://sxsimg.xiaoyuanzhao.com/71/99/7128B7B9BF01EA2150861307DF5AC499.png,inn_bsnigrnftfr2
f,广州,酷码教育,5,False,1,False,150,100,Java/Js讲师,08-15,intern,https://sxsimg.xiaoyuanzhao.com/C4/65/C471BE635D3585197EE24CE6A8940A65.png,inn_h7esrzvzlwup
f,东莞,酷码教育,5,False,1,False,150,100,Java/Js讲师,08-15,intern,https://sxsimg.xiaoyuanzhao.com/C4/65/C471BE635D3585197EE24CE6A8940A65.png,inn_ushuqfkv0tsk
f,北京,酷码教育,5,False,1,False,150,100,Java/Js讲师,08-15,intern,https://sxsimg.xiaoyuanzhao.com/C4/65/C471BE635D3585197EE24CE6A8940A65.png,inn_5nuaxqjradph
f,深圳,酷码教育,5,False,1,False,150,100,Java/Js讲师,08-15,intern,https://sxsimg.xiaoyuanzhao.com/C4/65/C471BE635D3585197EE24CE6A8940A65.png,inn_nglbbrp6vovg
f,佛山,酷码教育,5,False,1,False,150,100,Java/Js讲师,08-15,intern,https://sxsimg.xiaoyuanzhao.com/C4/65/C471BE635D3585197EE24CE6A8940A65.png,inn_iv48e2nlt5ib
f,广州,酷码教育,3,False,1,False,150,100,Java/Js讲师,08-15,intern,https://sxsimg.xiaoyuanzhao.com/C4/65/C471BE635D3585197EE24CE6A8940A65.png,inn_qbhc3r1ie8h0
f,杭州,立方控股,4,False,1,False,200,100,Java开发工程师,08-15,intern,https://sxsimg.xiaoyuanzhao.com/9E/C8/9E030466D5B4939CBAAAE53B7E5F25C8.jpg,inn_8v8pto0poiw5
f,上海,东方海外货柜,4,False,1,False,250,220,Java/Web应用开发工程师,08-15,intern,https://sxsimg.xiaoyuanzhao.com/3F/87/3F549A3F4E69652610C856A90F752E87.jpg,inn_k3top2jg2whn
f,北京,酷码教育,5,False,1,False,150,100,JavaScript/H5编程讲师/助教,08-15,intern,https://sxsimg.xiaoyuanzhao.com/71/99/7128B7B9BF01EA2150861307DF5AC499.png,inn_m6ocpckdtppn
f,佛山,酷码教育,5,False,1,False,150,100,JavaScript/H5编程讲师/助教,08-15,intern,https://sxsimg.xiaoyuanzhao.com/71/99/7128B7B9BF01EA2150861307DF5AC499.png,inn_oxfi8yufftxd
f,广州,酷码教育,5,False,1,False,150,100,JavaScript/H5编程讲师/助教,08-15,intern,https://sxsimg.xiaoyuanzhao.com/71/99/7128B7B9BF01EA2150861307DF5AC499.png,inn_kjvphtp1qngn
f,上海,华住（汉庭）酒店集团,4,False,1,False,200,100,研发实习生,08-15,intern,https://sxsimg.xiaoyuanzhao.com/D8/91/D8876F463BA1B532E2E794B7D07D9591.jpg,inn_kahqni8stnlb
